WTeamID,GameID,WLoc,WScore,WAst,WOR,WDR,WTO,WStl,WBlk,LTeamID,W3Pt%,WFT%,CityID,City,State,TeamName
1101,231101,N,70,14,6,24,15,8,3,1190,0.5652173913043478,0.6296296296296297,4001,Abilene,TX,Abilene Chr
1101,1241101,H,85,22,13,29,13,14,5,1230,0.36363636363636365,0.9285714285714286,4001,Abilene,TX,Abilene Chr
1101,1211101,A,63,13,7,18,22,4,1,1372,0.3076923076923077,0.5769230769230769,4231,Nacogdoches,TX,Abilene Chr
1101,261101,N,70,15,10,22,14,9,0,1303,0.5,0.6,4255,Omaha,NE,Abilene Chr
1101,1141101,H,86,21,8,20,14,6,3,1358,0.5263157894736842,0.8181818181818182,4001,Abilene,TX,Abilene Chr
1101,1031101,H,83,19,5,25,13,13,6,1394,0.2692307692307692,0.8148148148148148,4001,Abilene,TX,Abilene Chr
1101,1001101,H,88,26,17,23,19,18,4,1223,0.4642857142857143,0.5,4001,Abilene,TX,Abilene Chr
1101,251101,N,80,12,5,20,15,12,1,1122,0.5555555555555556,0.5862068965517241,4001,Abilene,TX,Abilene Chr
1101,981101,A,82,20,10,20,8,8,3,1394,0.4,0.6666666666666666,4085,Corpus Christi,TX,Abilene Chr
1101,891101,A,75,17,12,26,12,2,1,1230,0.2608695652173913,0.76,4302,San Antonio,TX,Abilene Chr
1101,861101,H,82,12,12,24,11,7,5,1372,0.25,0.8275862068965517,4001,Abilene,TX,Abilene Chr
1101,821101,H,93,29,8,23,12,11,6,1146,0.3870967741935484,0.7222222222222222,4001,Abilene,TX,Abilene Chr
1101,751101,H,76,21,9,22,14,16,5,1368,0.375,0.7037037037037037,4001,Abilene,TX,Abilene Chr
1101,651101,A,66,17,13,27,13,6,3,1223,0.13636363636363635,0.8181818181818182,4157,Houston,TX,Abilene Chr
1101,611101,H,83,21,15,23,13,11,3,1249,0.45,0.6666666666666666,4001,Abilene,TX,Abilene Chr
1101,331101,H,69,15,10,19,14,10,2,1470,0.3333333333333333,0.6363636363636364,4001,Abilene,TX,Abilene Chr
1101,1301101,N,93,22,11,21,10,11,2,1249,0.42857142857142855,0.7619047619047619,4001,Abilene,TX,Abilene Chr
1101,961101,A,77,20,9,21,7,11,2,1249,0.5,0.5,4026,Beaumont,TX,Abilene Chr
1101,1311101,N,79,19,13,38,16,12,3,1311,0.5,0.9090909090909091,4175,Katy,TX,Abilene Chr
1104,1201104,H,70,13,10,21,7,13,2,1120,0.2857142857142857,0.5454545454545454,4353,Tuscaloosa,AL,Alabama
1104,821104,H,81,21,7,22,14,13,6,1280,0.4117647058823529,0.8461538461538461,4353,Tuscaloosa,AL,Alabama
1104,1171104,A,64,9,16,28,14,11,3,1280,0.25,0.8823529411764706,4332,Starkville,MS,Alabama
